age,height,weight,size,sex
6.0,104.0,0.0,3,Female
7.0,192.0,270.0,3,Female
28.0,8.0,135.0,4,Male
5.0,24.0,105.0,7,Male
49.0,80.0,150.0,2,Female
93.0,88.0,60.0,1,Female
107.0,56.0,60.0,1,Female
139.0,32.0,90.0,7,Male
85.0,56.0,240.0,3,
22.0,16.0,180.0,1,Female
11.0,120.0,180.0,5,Female
38.0,64.0,30.0,7,Female
3.0,136.0,255.0,4,Male
46.0,40.0,75.0,3,Female
49.0,24.0,45.0,7,Male
99.0,48.0,225.0,2,Male
85.0,64.0,120.0,5,Male
83.0,0.0,15.0,5,Male
5.0,48.0,75.0,2,Female
32.0,24.0,75.0,3,Female
193.0,80.0,0.0,2,Male
35.0,144.0,150.0,2,Female
107.0,32.0,120.0,5,Male
10.0,24.0,135.0,4,Male
37.0,32.0,15.0,5,Male
99.0,80.0,0.0,2,Female
47.0,56.0,120.0,4,Female
90.0,88.0,45.0,4,Female
17.0,64.0,90.0,7,Female
49.0,144.0,330.0,2,Male
150.0,16.0,135.0,1,Female
3.0,72.0,60.0,4,Male
93.0,0.0,375.0,7,Male
90.0,56.0,45.0,4,Female
102.0,24.0,135.0,4,Female
107.0,56.0,210.0,1,Male
89.0,16.0,150.0,2,Male
84.0,88.0,150.0,3,Male
115.0,24.0,45.0,4,Male
47.0,32.0,180.0,5,Male
17.0,56.0,75.0,7,Male
19.0,144.0,150.0,2,Female
174.0,16.0,60.0,1,Male
22.0,16.0,0.0,2,Female
19.0,48.0,150.0,2,Female
49.0,144.0,225.0,2,Female
61.0,0.0,120.0,5,Female
10.0,88.0,30.0,4,Female
71.0,56.0,0.0,7,Female
6.0,24.0,300.0,7,Male
13.0,32.0,15.0,5,Male
65.0,168.0,315.0,4,Male
102.0,184.0,75.0,2,Male
104.0,0.0,90.0,7,Female
47.0,0.0,120.0,5,Female
97.0,32.0,315.0,5,Female
65.0,104.0,255.0,4,Female
84.0,72.0,0.0,3,Female
228.0,88.0,165.0,3,Male
49.0,16.0,75.0,2,Female
8.0,144.0,255.0,2,Female
51.0,88.0,135.0,1,Female
19.0,88.0,0.0,3,Male
59.0,96.0,345.0,5,Male
35.0,176.0,75.0,2,Female
85.0,64.0,210.0,5,Female
73.0,88.0,75.0,6,Female
45.0,80.0,0.0,2,Male
85.0,8.0,0.0,3,Female
89.0,80.0,255.0,2,Male
119.0,96.0,120.0,5,Female
121.0,64.0,120.0,5,Male
51.0,128.0,135.0,1,Male
59.0,40.0,105.0,3,Female
32.0,8.0,0.0,3,Male
137.0,56.0,0.0,3,Female
162.0,104.0,75.0,3,Female
38.0,64.0,90.0,7,Female
84.0,128.0,0.0,3,Female
7.0,88.0,150.0,3,Male
155.0,0.0,60.0,5,Female
32.0,80.0,150.0,2,Male
62.0,48.0,75.0,2,Male
19.0,112.0,195.0,2,Male
71.0,24.0,240.0,3,Female
35.0,120.0,180.0,5,Male
184.0,0.0,75.0,7,Male
17.0,232.0,75.0,7,Female
35.0,216.0,15.0,5,Male
38.0,176.0,30.0,7,Female
6.0,40.0,75.0,3,Male
16.0,112.0,60.0,7,Male
35.0,80.0,0.0,2,Male
71.0,0.0,120.0,5,Male
7.0,8.0,105.0,3,Female
107.0,120.0,120.0,5,Male
150.0,136.0,255.0,3,Male
75.0,16.0,0.0,2,Male
72.0,16.0,210.0,2,Female
84.0,56.0,105.0,3,Female
49.0,112.0,105.0,7,Female
97.0,120.0,60.0,5,Female
37.0,16.0,60.0,1,Male
72.0,8.0,30.0,4,
260.0,16.0,150.0,2,Male
128.0,32.0,15.0,7,Male
32.0,72.0,0.0,3,Female
77.0,24.0,135.0,4,Female
35.0,48.0,0.0,2,Female
150.0,88.0,15.0,7,Male
162.0,24.0,0.0,3,Male
62.0,16.0,195.0,2,Male
89.0,48.0,150.0,2,Male
35.0,64.0,120.0,5,Female
19.0,80.0,75.0,2,Male
132.0,16.0,60.0,1,Male
65.0,24.0,135.0,4,Male
5.0,56.0,0.0,7,Male
33.0,56.0,165.0,3,Male
13.0,32.0,210.0,5,Female
228.0,64.0,105.0,7,Female
138.0,112.0,15.0,7,Male
206.0,0.0,120.0,7,Female
8.0,80.0,30.0,2,Male
65.0,120.0,210.0,4,Male
10.0,8.0,30.0,4,Male
28.0,56.0,165.0,4,Female
58.0,8.0,75.0,3,Male
19.0,16.0,150.0,2,Male
33.0,104.0,105.0,3,Female
157.0,152.0,60.0,5,Female
37.0,64.0,60.0,5,Female
121.0,8.0,210.0,4,Female
35.0,16.0,105.0,2,Male
58.0,40.0,75.0,3,Male
25.0,32.0,270.0,5,Male
47.0,32.0,180.0,5,Male
110.0,72.0,105.0,3,Female
10.0,40.0,30.0,4,Female
6.0,0.0,60.0,7,Female
38.0,176.0,330.0,7,Male
83.0,0.0,285.0,5,Male
7.0,40.0,45.0,3,Female
97.0,56.0,120.0,3,Male
22.0,80.0,210.0,2,Female
115.0,24.0,75.0,7,Male
107.0,64.0,90.0,5,Female
71.0,32.0,75.0,5,Male
23.0,16.0,180.0,1,Male
129.0,80.0,0.0,2,Female
111.0,88.0,0.0,3,Male
150.0,88.0,90.0,7,Male
5.0,0.0,0.0,7,Male
7.0,8.0,75.0,3,Male
84.0,120.0,135.0,4,Female
48.0,128.0,135.0,1,Male
45.0,8.0,0.0,3,Male
121.0,216.0,120.0,5,Female
60.0,0.0,90.0,7,Female
102.0,80.0,255.0,2,Female
7.0,8.0,135.0,3,Male
217.0,56.0,60.0,1,Female
28.0,56.0,90.0,4,Female
107.0,32.0,60.0,5,
49.0,48.0,195.0,2,Male
117.0,24.0,90.0,7,Male
35.0,48.0,195.0,2,Female
172.0,32.0,45.0,7,Female
195.0,0.0,45.0,7,Male
9.0,56.0,60.0,1,Female
129.0,16.0,225.0,2,Female
202.0,8.0,,3,Male
8.0,16.0,0.0,2,Male
58.0,24.0,75.0,3,Male
19.0,88.0,0.0,3,Male
17.0,0.0,270.0,7,Male
97.0,72.0,105.0,3,Male
97.0,104.0,0.0,3,Female
35.0,,60.0,5,Female
77.0,136.0,30.0,4,Female
139.0,56.0,30.0,4,Female
19.0,56.0,60.0,1,Male
45.0,16.0,225.0,2,Female
23.0,32.0,180.0,5,Male
49.0,88.0,60.0,7,Male
52.0,104.0,135.0,4,Female
25.0,32.0,15.0,5,Female
111.0,128.0,165.0,3,Female
5.0,0.0,45.0,7,Female
6.0,24.0,135.0,3,Male
82.0,88.0,180.0,7,Female
37.0,32.0,105.0,5,Female
110.0,40.0,105.0,3,Female
37.0,152.0,120.0,5,Male
83.0,32.0,150.0,5,Female
5.0,80.0,45.0,2,Female
49.0,80.0,75.0,2,Male
49.0,80.0,30.0,2,Male
95.0,64.0,180.0,5,Female
49.0,144.0,0.0,2,Female
102.0,88.0,30.0,4,Female
169.0,48.0,0.0,2,Male
104.0,120.0,255.0,7,Male
89.0,80.0,75.0,2,Male
59.0,56.0,165.0,3,Male
65.0,56.0,60.0,1,Female
35.0,184.0,315.0,5,Female
79.0,56.0,60.0,1,Female
137.0,40.0,150.0,3,Female
25.0,64.0,75.0,5,Female
60.0,64.0,120.0,7,Male
5.0,88.0,60.0,1,Male
49.0,56.0,45.0,7,Male
71.0,0.0,90.0,7,Female
47.0,40.0,150.0,4,Female
58.0,192.0,105.0,3,Male
47.0,120.0,180.0,5,Female
98.0,24.0,105.0,3,Male
117.0,0.0,60.0,7,Female
76.0,88.0,60.0,1,Male
59.0,152.0,120.0,5,Female
28.0,88.0,45.0,4,Male
47.0,64.0,60.0,5,Male
75.0,144.0,75.0,2,Female
58.0,8.0,0.0,3,Female
85.0,32.0,120.0,5,Male
59.0,80.0,195.0,2,Female
22.0,48.0,0.0,2,Male
20.0,104.0,75.0,3,Male
22.0,48.0,150.0,2,Female
150.0,24.0,45.0,3,Female
19.0,56.0,105.0,3,Female
109.0,64.0,15.0,5,Male
23.0,120.0,240.0,5,Female
132.0,128.0,15.0,1,Male
49.0,80.0,75.0,2,Male
82.0,0.0,15.0,7,Female
93.0,120.0,150.0,7,Female
27.0,24.0,15.0,7,Male
17.0,56.0,150.0,7,Male
121.0,56.0,135.0,4,Female
179.0,64.0,75.0,5,Male
205.0,64.0,45.0,5,Female
90.0,136.0,0.0,4,Female
59.0,176.0,300.0,2,Male
93.0,32.0,90.0,7,Male
38.0,24.0,90.0,7,Female
104.0,64.0,435.0,7,Male
6.0,88.0,75.0,3,Male
45.0,128.0,105.0,3,Female
245.0,56.0,135.0,1,Female
150.0,56.0,120.0,7,Male
164.0,88.0,30.0,4,Female
32.0,72.0,30.0,3,Male
188.0,16.0,105.0,1,Male
71.0,32.0,120.0,5,Male
25.0,64.0,45.0,5,Male
59.0,184.0,0.0,2,Female
35.0,120.0,60.0,5,Female
49.0,144.0,300.0,7,Male
62.0,112.0,330.0,2,Female
40.0,88.0,210.0,4,Male
19.0,136.0,0.0,3,Female
59.0,80.0,0.0,2,Male
23.0,64.0,120.0,5,Female
5.0,120.0,60.0,7,Male
65.0,56.0,105.0,4,Male
32.0,40.0,0.0,3,Male
35.0,120.0,120.0,5,Male
71.0,24.0,0.0,3,Female
65.0,128.0,180.0,1,Female
84.0,40.0,105.0,3,Male
19.0,104.0,45.0,3,Male
32.0,40.0,0.0,3,Female
214.0,56.0,45.0,4,Male
97.0,8.0,120.0,3,Male
32.0,72.0,120.0,3,Female
34.0,24.0,30.0,4,Female
47.0,0.0,120.0,5,Male
22.0,0.0,210.0,7,Female
102.0,72.0,90.0,4,Female
95.0,96.0,15.0,5,Female
84.0,8.0,135.0,3,Male
47.0,40.0,90.0,4,Male
115.0,8.0,150.0,4,Female
32.0,88.0,0.0,3,Male
128.0,64.0,15.0,7,Female
49.0,88.0,180.0,7,Female
90.0,56.0,135.0,4,Male
71.0,72.0,225.0,3,Male
22.0,184.0,0.0,5,Female
133.0,0.0,15.0,5,Male
126.0,16.0,75.0,2,Female
83.0,0.0,75.0,5,Female
110.0,24.0,75.0,3,Male
5.0,24.0,255.0,7,Male
104.0,16.0,105.0,1,Female
22.0,56.0,30.0,4,Male
35.0,120.0,75.0,5,Male
127.0,40.0,120.0,4,Female
98.0,40.0,75.0,3,Male
59.0,64.0,60.0,5,Male
33.0,40.0,0.0,3,Male
47.0,0.0,120.0,5,Male
71.0,40.0,105.0,3,Female
8.0,16.0,255.0,2,Male
97.0,104.0,60.0,3,Male
32.0,8.0,210.0,3,Male
46.0,24.0,105.0,3,Male
6.0,56.0,0.0,3,Female
146.0,56.0,45.0,4,Male
45.0,80.0,255.0,2,Female
65.0,8.0,180.0,4,Female
46.0,40.0,120.0,3,Female
45.0,104.0,0.0,3,Female
137.0,8.0,60.0,3,Female
23.0,32.0,45.0,5,Female
247.0,80.0,225.0,2,Male
40.0,24.0,30.0,7,Male
22.0,80.0,75.0,2,Female
75.0,16.0,75.0,2,Male
172.0,88.0,30.0,7,Male
49.0,16.0,0.0,2,Male
58.0,40.0,0.0,3,Female
157.0,64.0,15.0,5,Female
33.0,8.0,0.0,3,Male
49.0,96.0,120.0,5,Female
136.0,56.0,105.0,1,Male
193.0,120.0,75.0,5,Male
62.0,80.0,45.0,2,Male
5.0,88.0,120.0,7,Female
25.0,0.0,15.0,5,Male
38.0,112.0,45.0,7,Male
89.0,48.0,150.0,2,Female
111.0,40.0,180.0,3,Female
171.0,168.0,180.0,4,Female
84.0,56.0,45.0,4,Female
90.0,16.0,60.0,1,Female
95.0,32.0,75.0,5,Male
217.0,32.0,60.0,5,Female
13.0,152.0,180.0,5,Male
6.0,24.0,15.0,7,Female
59.0,64.0,180.0,5,Female
38.0,24.0,15.0,7,Male
32.0,24.0,0.0,3,Female
71.0,32.0,105.0,5,Male
83.0,152.0,240.0,5,Male
23.0,64.0,120.0,5,Female
5.0,16.0,75.0,2,Male
1.0,120.0,270.0,5,Female
6.0,168.0,150.0,3,Male
28.0,168.0,315.0,4,Male
60.0,24.0,105.0,7,Female
33.0,104.0,75.0,3,Female
13.0,64.0,15.0,5,Female
111.0,8.0,165.0,3,Female
15.0,56.0,15.0,4,Female
7.0,128.0,0.0,3,Male
49.0,24.0,0.0,7,Male
16.0,88.0,135.0,7,Female
71.0,0.0,180.0,5,Female
75.0,16.0,150.0,2,Male
160.0,200.0,45.0,7,Female
22.0,16.0,0.0,2,Female
8.0,184.0,150.0,2,Male
85.0,32.0,75.0,5,Male
59.0,40.0,0.0,3,Male
62.0,112.0,255.0,2,Female
84.0,176.0,15.0,7,Male
267.0,72.0,180.0,3,Female
5.0,112.0,75.0,2,Male
149.0,24.0,75.0,7,Female
5.0,48.0,0.0,2,Male
83.0,64.0,120.0,5,Female
23.0,56.0,255.0,1,Female
16.0,88.0,60.0,7,Male
99.0,184.0,255.0,2,Female
37.0,88.0,60.0,1,Male
1.0,64.0,345.0,5,Male
259.0,16.0,60.0,1,Male
35.0,0.0,75.0,5,Male
8.0,112.0,30.0,2,Male
15.0,88.0,180.0,4,Male
1.0,120.0,45.0,5,Male
7.0,40.0,0.0,3,Female
85.0,24.0,0.0,3,Female
59.0,32.0,60.0,5,Female
293.0,8.0,75.0,3,Male
131.0,32.0,75.0,5,Female
77.0,104.0,45.0,4,Female
20.0,88.0,105.0,3,Male
35.0,184.0,0.0,2,Female
294.0,88.0,105.0,7,Male
38.0,56.0,120.0,7,Female
71.0,64.0,60.0,5,Female
143.0,16.0,0.0,2,Male
5.0,120.0,60.0,7,Female
25.0,64.0,105.0,5,Male
153.0,80.0,0.0,2,Male
6.0,72.0,105.0,3,Female
17.0,0.0,15.0,7,Female
40.0,104.0,30.0,4,Male
121.0,40.0,30.0,4,Female
177.0,120.0,210.0,4,Male
37.0,232.0,0.0,1,Male
107.0,56.0,60.0,1,Female
35.0,16.0,285.0,2,Female
10.0,88.0,180.0,4,Male
59.0,96.0,120.0,5,Male
181.0,32.0,210.0,5,Female
37.0,0.0,15.0,5,Male
35.0,16.0,75.0,2,Male
60.0,56.0,30.0,7,Male
51.0,88.0,135.0,1,Male
22.0,64.0,315.0,5,Female
83.0,64.0,210.0,5,Female
137.0,56.0,150.0,3,Male
145.0,96.0,105.0,5,Male
177.0,104.0,45.0,4,Male
59.0,40.0,360.0,3,Male
49.0,32.0,0.0,7,Male
10.0,72.0,180.0,4,Female
150.0,88.0,0.0,7,Male
72.0,40.0,75.0,3,Female
51.0,32.0,30.0,7,Male
84.0,8.0,150.0,3,Female
73.0,64.0,120.0,7,Female
17.0,176.0,15.0,7,Female
179.0,64.0,315.0,5,Male
253.0,32.0,270.0,5,Female
5.0,0.0,15.0,7,Male
127.0,104.0,45.0,4,Male
117.0,56.0,15.0,7,Female
110.0,104.0,75.0,3,Female
40.0,56.0,135.0,4,Female
97.0,8.0,225.0,3,Male
15.0,8.0,135.0,4,Female
83.0,184.0,75.0,5,Male
98.0,72.0,60.0,3,Female
49.0,16.0,75.0,2,Female
60.0,0.0,90.0,7,Male
62.0,112.0,150.0,2,Male
85.0,128.0,75.0,3,Female
90.0,40.0,45.0,4,Female
47.0,120.0,60.0,5,Male
28.0,120.0,210.0,4,Female
22.0,56.0,75.0,3,Female
40.0,24.0,180.0,4,Male
82.0,112.0,60.0,7,Male
20.0,72.0,135.0,3,Female
270.0,120.0,45.0,4,Female
99.0,112.0,225.0,2,Female
150.0,40.0,75.0,3,Female
254.0,160.0,165.0,3,Male
82.0,0.0,75.0,7,Male
152.0,104.0,90.0,4,Male
102.0,192.0,255.0,4,Male
171.0,24.0,15.0,4,Female
59.0,120.0,105.0,5,Male
49.0,24.0,90.0,7,Female
273.0,16.0,75.0,2,Female
5.0,64.0,90.0,7,Male
3.0,72.0,30.0,4,Female
5.0,16.0,75.0,2,Male
32.0,24.0,105.0,3,Male
164.0,104.0,135.0,4,Male
75.0,80.0,150.0,2,Female
72.0,16.0,75.0,2,Male
10.0,56.0,180.0,4,Female
9.0,160.0,135.0,1,Male
35.0,0.0,120.0,5,Female
16.0,112.0,30.0,7,Female
33.0,40.0,120.0,3,Male
23.0,96.0,120.0,5,Male
32.0,72.0,405.0,3,Female
161.0,64.0,150.0,7,Male
217.0,64.0,120.0,7,Female
45.0,104.0,0.0,3,Female
6.0,88.0,75.0,3,Female
157.0,0.0,60.0,5,Male
128.0,64.0,210.0,7,Female
47.0,8.0,255.0,4,Male
45.0,24.0,180.0,3,Female
52.0,176.0,165.0,4,Female
127.0,64.0,15.0,7,Male
65.0,8.0,105.0,4,Male
11.0,120.0,120.0,5,Male
253.0,32.0,15.0,5,Male
189.0,24.0,165.0,4,Male
8.0,16.0,0.0,2,Male
59.0,64.0,60.0,5,Male
22.0,80.0,75.0,2,Female
93.0,24.0,30.0,7,Female
86.0,144.0,75.0,2,Male
20.0,224.0,240.0,3,Male
20.0,40.0,345.0,3,Female
19.0,144.0,195.0,2,Female
45.0,8.0,45.0,3,Female
76.0,16.0,135.0,1,Female
83.0,32.0,15.0,5,Male
109.0,8.0,45.0,4,Male
58.0,56.0,0.0,3,Female
16.0,176.0,180.0,7,Male
13.0,32.0,120.0,5,Male
93.0,64.0,60.0,7,Male
58.0,56.0,60.0,3,Male
71.0,24.0,60.0,7,Male
72.0,48.0,0.0,2,Female
23.0,96.0,270.0,5,Female
6.0,40.0,75.0,3,Female
59.0,8.0,135.0,4,Male
8.0,16.0,45.0,2,Male
7.0,72.0,0.0,3,Female
145.0,0.0,270.0,5,Female
34.0,24.0,180.0,4,Female
95.0,0.0,210.0,7,Male
72.0,72.0,0.0,3,Male
32.0,24.0,105.0,3,Male
184.0,64.0,210.0,7,Female
32.0,80.0,0.0,2,Female
201.0,56.0,0.0,3,Male
35.0,32.0,60.0,5,Male
19.0,56.0,60.0,1,Female
22.0,16.0,75.0,2,Male
84.0,144.0,330.0,4,Female
60.0,120.0,210.0,7,Male
6.0,72.0,105.0,3,Female
83.0,152.0,60.0,5,Female
35.0,144.0,75.0,2,Male
121.0,56.0,255.0,1,Female
121.0,64.0,45.0,5,Female
22.0,48.0,0.0,2,Female
62.0,48.0,45.0,2,Female
161.0,64.0,60.0,7,Female
77.0,104.0,150.0,4,Female
7.0,104.0,0.0,3,Female
133.0,64.0,105.0,5,Male
265.0,32.0,345.0,5,Male
111.0,56.0,75.0,3,Female
45.0,72.0,0.0,3,Female
58.0,72.0,0.0,3,Female
109.0,8.0,45.0,4,Male
83.0,96.0,75.0,5,Female
90.0,136.0,390.0,4,Female
84.0,104.0,120.0,3,Female
77.0,8.0,135.0,4,Female
27.0,88.0,90.0,7,Female
35.0,64.0,60.0,5,Male
40.0,8.0,390.0,4,Male
61.0,96.0,120.0,5,Female
33.0,16.0,135.0,1,Female
126.0,48.0,45.0,2,Male
116.0,80.0,75.0,2,Female
104.0,88.0,45.0,7,Male
181.0,32.0,120.0,5,Male
247.0,48.0,75.0,2,Male
59.0,40.0,30.0,4,Male
65.0,40.0,135.0,4,Female
47.0,64.0,90.0,5,Male
106.0,0.0,165.0,7,Female
75.0,112.0,105.0,2,Male
7.0,168.0,150.0,3,Female
84.0,8.0,180.0,4,Female
15.0,8.0,30.0,4,Female
83.0,96.0,15.0,5,Female
22.0,96.0,180.0,5,Female
51.0,24.0,165.0,7,Male
33.0,24.0,0.0,3,Male
47.0,56.0,255.0,4,Female
59.0,112.0,75.0,2,Female
5.0,128.0,180.0,1,Male
33.0,56.0,135.0,1,Male
250.0,64.0,195.0,7,Male
5.0,48.0,0.0,2,Female
28.0,104.0,90.0,4,Female
107.0,32.0,60.0,5,Male
32.0,8.0,180.0,3,Female
35.0,16.0,0.0,2,Male
5.0,88.0,60.0,1,Female
115.0,32.0,30.0,7,Male
77.0,8.0,135.0,4,Male
19.0,24.0,0.0,3,Female
102.0,136.0,90.0,4,Male
163.0,24.0,60.0,3,Female
45.0,80.0,255.0,2,Female
7.0,104.0,75.0,3,Male
37.0,16.0,255.0,1,Female
25.0,64.0,75.0,5,Male
25.0,64.0,180.0,5,Female
59.0,128.0,105.0,3,Female
267.0,136.0,150.0,3,Male
134.0,8.0,120.0,4,Female
9.0,88.0,285.0,1,Female
5.0,88.0,60.0,1,Male
28.0,120.0,120.0,7,Male
22.0,112.0,300.0,2,Female
32.0,40.0,225.0,3,Male
62.0,48.0,75.0,2,Male
152.0,192.0,135.0,4,Male
76.0,16.0,60.0,1,Male
73.0,152.0,120.0,5,Female
62.0,16.0,150.0,2,Female
137.0,56.0,165.0,3,Male
45.0,24.0,0.0,3,Male
62.0,16.0,150.0,2,Female
7.0,56.0,240.0,3,Male
20.0,72.0,45.0,3,Female
23.0,128.0,60.0,1,Male
33.0,88.0,60.0,1,Male
23.0,160.0,135.0,1,Male
110.0,8.0,0.0,3,Male
32.0,80.0,75.0,2,Male
34.0,72.0,90.0,4,Female
13.0,64.0,15.0,5,Female
71.0,56.0,0.0,3,Female
129.0,48.0,195.0,2,Female
71.0,32.0,210.0,5,Female
22.0,48.0,75.0,2,Female
49.0,88.0,45.0,7,Female
35.0,64.0,45.0,5,Male
106.0,64.0,165.0,7,Female
83.0,64.0,120.0,5,Female
6.0,128.0,210.0,3,Male
84.0,72.0,240.0,3,Male
38.0,64.0,120.0,7,Female
97.0,56.0,120.0,3,Female
22.0,48.0,195.0,2,Female
19.0,160.0,165.0,3,Male
127.0,64.0,300.0,7,Male
65.0,40.0,315.0,4,Male
27.0,112.0,75.0,7,Male
38.0,88.0,105.0,7,Female
102.0,56.0,30.0,4,Male
22.0,208.0,75.0,4,Female
97.0,152.0,60.0,5,Male
45.0,128.0,0.0,3,Male
6.0,128.0,105.0,3,Male
143.0,48.0,45.0,2,Female
62.0,48.0,45.0,2,Female
150.0,88.0,45.0,7,Male
38.0,88.0,105.0,7,Male
217.0,88.0,90.0,7,Male
93.0,64.0,330.0,7,Female
239.0,64.0,15.0,7,Female
180.0,80.0,75.0,2,Female
126.0,48.0,45.0,2,Female
20.0,40.0,0.0,3,Female
10.0,40.0,90.0,4,Female
34.0,72.0,45.0,4,Male
72.0,8.0,0.0,3,Female
9.0,16.0,135.0,1,Male
49.0,64.0,75.0,5,Female
33.0,128.0,0.0,3,Female
107.0,64.0,270.0,5,Female
51.0,56.0,180.0,1,Female
102.0,48.0,75.0,2,Female
123.0,72.0,105.0,3,Male
38.0,64.0,120.0,7,Female
52.0,72.0,75.0,4,Female
48.0,128.0,60.0,1,Male
45.0,16.0,0.0,2,Female
90.0,136.0,30.0,4,Male
126.0,80.0,225.0,2,Male
82.0,88.0,60.0,7,Male
196.0,48.0,150.0,2,Male
35.0,16.0,75.0,2,Male
72.0,144.0,75.0,2,Female
22.0,48.0,150.0,2,Female
6.0,32.0,285.0,7,Male
9.0,88.0,15.0,1,Male
51.0,128.0,135.0,1,Female
13.0,64.0,210.0,5,Male
10.0,56.0,255.0,4,Male
75.0,184.0,330.0,2,Female
7.0,8.0,75.0,3,Male
280.0,72.0,0.0,3,Male
